PROY0017_03	Perú	Respuestas	Excluido por negocio	XXX																	
PROY0021_02	Colombia	Respuestas	Excluido por Timeout	XXX	Prioridad a pagos por parte desarrollos del cliente o implementación Mx. Parado en las pruebas PGP.				8100												
PROY0023_01	España	Nóminas	Implementado con OK	NOM	Pendiente de disponibilidad Cliente				10000000072	41247	41264			41286	41388	41425				41247	41264
PROY0023_01	España	Cheques en fichero 34.1	Excluido por negocio	CH1	No se mapea correctamente en SSTT para Prisma. Pendiente de cambio por parte de Negocio Europa.				10000000072												
PROY0023_01	España	Transferencias internacionales	Implementado sin OK	TIN	Pendiente de disponibilidad Cliente Una vez subidos a producción Negocio pidió repetir pruebas en integrado para que los usuarios finales de Grifols practicasen y conociesen las herramientas hast el 23-04-2013				10000000072	41247	41264			41300	41388	41425				41247	41264
PROY0023_01	España	Transferencias internacionales	Implementado con OK	TIN	Pendiente de disponibilidad Cliente Una vez subidos a producción Negocio pidió repetir pruebas en integrado para que los usuarios finales de Grifols practicasen y conociesen las herramientas hast el 23-04-2013				10000000072	41247	41264			41300	41388	41425				41247	41264
PROY0023_01	España	Transferencias urgentes (OMF)	Implementado con OK	OMF	Pendiente de disponibilidad Cliente Una vez subidos a producción Negocio pidió repetir pruebas en integrado para que los usuarios finales de Grifols practicasen y conociesen las herramientas hast el 23-04-2013				10000000072	41247	41264			41300	41388	41425				41247	41264
PROY0023_01	España	Respuestas	Implementado sin OK	MT199	Respuestas (pseudoMT199). Pendiente de disponibilidad Cliente. MT199				10000000072	41247	41264			41300	41388	41425				41247	41264
PROY0023_01	España	Confirming	Implementado con OK	CNF	Pendiente de disponibilidad Cliente Una vez subidos a producción Negocio pidió repetir pruebas en integrado para que los usuarios finales de Grifols practicasen y conociesen las herramientas hast el 23-04-2013				10000000072	41337	41344			41356	41388	41425				41337	41344
PROY0023_01	España	Transferencias EUR (FIT)	Implementado con OK	FIT	Pendiente de disponibilidad Cliente Una vez subidos a producción Negocio pidió repetir pruebas en integrado para que los usuarios finales de Grifols practicasen y conociesen las herramientas hast el 23-04-2013				10000000072	41337	41344			41356	41388	41425				41337	41344
PROY0023_01	España	Respuestas	Implementado con OK	XXX	Pendiente de disponibilidad Cliente Una vez subidos a producción Negocio pidió repetir pruebas en integrado para que los usuarios finales de Grifols practicasen y conociesen las herramientas hast el 23-04-2013				10000000072	41337	41344			41356	41388	41425				41337	41344
PROY0023_01	España	Nóminas (FIM)	Implementado sin OK	FIM	Pendiente de disponibilidad Cliente Una vez subidos a producción Negocio pidió repetir pruebas en integrado para que los usuarios finales de Grifols practicasen y conociesen las herramientas hast el 23-04-2013				10000000072	41337	41344			41356	41388	41425				41337	41344
PROY0024_01	México	Pago a proveedores (SIT)	Implementado con OK	HST										12/15/2012							
PROY0024_01	Colombia	Saldos y movimientos	Implementado con OK	MT940			BAI2		8095			40840	40841	40841	40842						
PROY0024_01	México	Saldos y movimientos	Implementado con OK	MT940			BAI2		29			40840	40841	40841	40842						
PROY0024_01	México	Saldos y movimientos	Implementado con OK	MT940			BAI2		29			40840	40841	40841	40842						
PROY0024_01	Perú	Saldos y movimientos	Implementado con OK	MT940			BAI2		1449			40840	40841	40841	40842						
PROY0024_02	México	Protección de cheques	Implementado con OK	PCH					29					12/15/2012							
PROY0024_03	México	Respuestas	Implementado con OK	XXX	Respuestas PaP				29					12/15/2012							
PROY0024_03	México	Respuestas	Implementado con OK	XXX	Respuestas PCH				29					12/15/2012							
PROY0024_04	Chile	Pago a proveedores	Implementado sin OK	PRO	Se pasa a producción aunque no hemos podido verificar en producción pagos mediante transferencias a otros bancos.	XML.V3	PRO Propietario		896	41301	41301			41314	41353	41374	41382			41524	41301
PROY0024_05	Perú	Pago a Proveedores	Implementado con OK	M03		XML v.3	M03 Propietario		1449												
PROY0024_06	Colombia	Respuestas	Excluido por Timeout	XXX	Respuestas PaP. Pte. Negocio																
PROY0024_06	México	Respuestas	Excluido por Timeout	XXX	Respuestas PCH. Pte. Negocio																
PROY0024_07	Colombia	Pago a proveedores	Implementado con OK	PRO		XML v.3	PRO Propietario		8095	41267	41299				41317	41317	41341			41267	41299
